,mean,min,n_low,nunique,v2007峰值,v2015泡沫顶,v2018初,v2021抱团顶
f_val_abs_v2,0.9360622119815669,0.6,145.0,125.0,0.6,0.89725,0.92025,0.90325
f_val_abs_s1,0.9295954493087559,0.55,222.0,199.0,0.55,0.90835,0.92215,0.91195
f_val_abs_s2,0.8870274337557604,0.45,223.0,189.0,0.45,0.845875,0.87025,0.85325
f_val_abs_s3,0.8374533170122889,0.35,223.0,189.0,0.35,0.7445,0.7905000000000001,0.7565000000000001
f_val_abs_s4,0.8815237903225808,0.4,222.0,186.0,0.4,0.8445,0.8905000000000001,0.8565
f_q_q3r60,0.9014579999343157,0.600000000001,101.0,23.0,0.600000000001,0.6555555555564166,0.6833333333341249,0.6277777777787084
f_q_q3r70,0.9162202612854072,0.6000000000013332,76.0,17.0,0.6000000000013332,0.6740740740751605,0.711111111112074,0.6370370370382469
f_q_q5r60,0.9316029908921247,0.600000000001,76.0,32.0,1.0,0.6333333333342499,0.650000000000875,0.616666666667625
f_q_q5r70,0.9450716845879966,0.6000000000013332,61.0,21.0,1.0,0.6444444444456296,0.6666666666677779,0.6222222222234814
f_q_q3m60,0.9322618036110397,0.6000000000010292,62.0,63.0,0.6000000000010292,0.6545243619499292,0.819936708861333,0.6136518771342401
f_q_q5m60,0.9713743471854681,0.600000000001116,36.0,38.0,1.0,0.6545243619499292,0.7612529002327125,0.6136518771342401
f_q_q3z,0.9652553361753584,0.6,50.0,50.0,0.8670939877025357,0.7083227153779281,0.9048905647563451,0.7358701955558952
f_q_q5z,0.9851743852205052,0.6710550497231731,35.0,36.0,1.0,0.8351278313941536,0.8798251962103879,0.7116261034554671
f_q_q8r60,0.9607577675669898,0.6312500000009218,60.0,37.0,1.0,0.9229166666668593,0.7041666666674062,0.6416666666675623
pe_hs300,14.699475806451614,7.96,-1.0,223.0,47.84,16.11,15.19,15.87
