,mean,min,n_low,nunique,v2007峰值,v2015泡沫顶,v2018初,v2021抱团顶
f_val_abs_v2,0.9362637693631669,0.6,146.0,125.0,0.6,0.89725,0.92025,0.90325
f_val_abs_s1,0.9297245840504876,0.55,223.0,199.0,0.55,0.90835,0.92215,0.91195
f_val_abs_s2,0.8872251147446931,0.45,224.0,189.0,0.45,0.845875,0.87025,0.85325
f_val_abs_s3,0.8376964763817174,0.35,224.0,189.0,0.35,0.7445,0.7905000000000001,0.7565000000000001
f_val_abs_s4,0.8817947791164659,0.4,223.0,186.0,0.4,0.8445,0.8905000000000001,0.8565
f_q_q3r60,0.9023111360345337,0.600000000001,102.0,24.0,0.600000000001,0.6555555555564166,0.6833333333341249,0.6277777777787084
f_q_q3r70,0.9175681793198074,0.6000000000013332,75.0,17.0,0.6000000000013332,0.6740740740751605,0.711111111112074,0.6370370370382469
f_q_q5r60,0.9316434072606977,0.600000000001,77.0,33.0,1.0,0.6333333333342499,0.650000000000875,0.616666666667625
f_q_q5r70,0.9455153949131669,0.6000000000013332,62.0,22.0,1.0,0.6444444444456296,0.6666666666677779,0.6222222222234814
f_q_q3m60,0.9323422924440696,0.6000000000010292,63.0,63.0,0.6000000000010292,0.6545243619499292,0.819936708861333,0.6136518771342401
f_q_q5m60,0.9711142243999253,0.600000000001116,37.0,38.0,1.0,0.6545243619499292,0.7612529002327125,0.6136518771342401
f_q_q3z,0.9656384536082186,0.6,49.0,49.0,0.8670939877025357,0.7083227153779281,0.9048905647563451,0.7358701955558952
f_q_q5z,0.9855226934437328,0.6710550497231731,36.0,37.0,1.0,0.8351278313941536,0.8798251962103879,0.7116261034554671
f_q_q8r60,0.9607940482862658,0.6312500000009218,61.0,37.0,1.0,0.9229166666668593,0.7041666666674062,0.6416666666675623
pe_hs300,14.690843373493978,7.96,-1.0,223.0,47.84,16.11,15.19,15.87
