ym,ic,n,best_iter
2011-01,0.026576,1665,4
2011-02,0.064443,1685,1
2011-03,0.007829,1712,2
2011-04,0.045023,1737,2
2011-05,0.06603,1752,26
2011-06,0.183211,1789,26
2011-07,0.232442,1831,36
2011-08,0.148533,1870,66
2011-09,0.071184,1897,86
2011-10,0.213058,1914,113
2011-11,-0.043846,1936,85
2011-12,-0.031652,1966,84
2012-01,0.181137,1978,96
2012-02,0.200089,1998,34
2012-03,0.086134,2023,35
2012-04,0.138466,2026,23
2012-05,0.202889,2048,22
2012-06,-0.10548,2067,40
2012-07,0.301989,2082,13
2012-08,0.020369,2099,33
2012-09,0.213233,2122,28
2012-10,0.028086,2138,35
2012-11,0.038996,2162,29
2012-12,0.103601,2172,34
2013-01,0.151037,2180,26
2013-02,0.111447,2199,28
2013-03,0.05438,2205,25
2013-04,0.087641,2210,17
2013-05,0.015091,2209,11
2013-06,0.012738,2195,4
2013-07,0.202835,2202,5
2013-08,0.083627,2206,1
2013-09,0.1556,2192,1
2013-10,0.130948,2200,10
2013-11,0.187888,2193,19
2013-12,0.093453,2197,50
2014-01,0.167635,2194,45
2014-02,0.202193,2178,85
2014-03,0.114545,2176,95
2014-04,0.126464,2151,95
2014-05,0.175743,2122,88
2014-06,0.132488,2136,105
2014-07,0.207495,2172,44
2014-08,0.114594,2178,68
2014-09,0.095733,2197,46
2014-10,0.035814,2160,34
2014-11,-0.254785,2163,21
2014-12,0.319849,2189,5
2015-01,0.060133,2184,20
2015-02,0.18327,2152,2
2015-03,0.066762,2178,1
2015-04,0.27387,2196,2
2015-05,0.074186,2168,5
2015-06,0.09526,2161,57
2015-07,0.162817,2123,140
2015-08,0.31433,2105,156
2015-09,0.137,2137,266
2015-10,0.318544,2205,298
2015-11,0.24246,2308,289
2015-12,0.272738,2405,300
2016-01,0.100939,2414,241
2016-02,0.212356,2402,127
2016-03,0.277965,2406,41
2016-04,-0.020803,2379,1
2016-05,0.109267,2363,1
